个人信用评分表,,,,,,,,,,,,,,,,,,
base_score,[513.69958055],,,,,,,,,,,,,,,,,
age,Score,,,,,,,,,,,,,,,,,
"(-inf, 36.0]",-4.148989508,,,,,,,,,,,,,,,,,
"(36.0, 54.0]",-2.198646424,,,,,,,,,,,,,,,,,
"(54.0, 61.0]",1.97278464,,,,,,,,,,,,,,,,,
"(61.0, 74.0]",7.934720336,,,,,,,,,,,,,,,,,
"(74.0, inf]",13.57802031,,,,,,,,,,,,,,,,,
RevolvingUtilizationOfUnsecuredLines,Score,,,,,SeriousDlqin2yrs,age,RevolvingUtilizationOfUnsecuredLines,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,,得分
"(-inf, 0.099]",47.57442306,,,,测试样本,,40,1.106978604,0.347578348,2807,5,0,0,0,0,0,,
"(0.099, 0.298]",14.45808056,,,,得分,,-2.198646424,-43.88822935,0.807701793,-3.315386274,-0.432076422,5.467155806,3.881818826,-10.6601121,1.021526569,14.48663704,,478.8703895
"(0.298, 0.465]",-2.757875689,,,,违约样本,1,38,0.025655677,0.475841386,3000,7,0,0,1,0,2,,
"(0.465, 0.982]",-23.20813408,,,,得分,,-2.198646424,47.57442306,-8.570715929,-3.315386274,1.029758821,5.467155806,3.881818826,5.345219766,1.021526569,-12.23968079,,551.6954734
"(0.982, 1.0]",-10.41747808,,,,不违约样本,0,48,0.813752294,0.449795803,7100,8,3,0,1,1,0,,
"(1.0, inf]",-43.88822935,,,,得分,,-2.198646424,-23.20813408,-8.570715929,3.358845807,1.029758821,-24.01190636,3.881818826,5.345219766,-11.37043363,14.48663704,,472.4424438
DebtRatio,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0175]",33.30704105,,,,,,,,,,,,,,,,,
"(0.0175, 0.402]",0.807701793,,,,,,,,,,,,,,,,,
"(0.402, 1.469]",-8.570715929,,,,,,,,,,,,,,,,,
"(1.469, inf]",3.870049798,,,,,,,,,,,,,,,,,
MonthlyIncome,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0963]",18.33255167,,,,,,,,,,,,,,,,,
"(0.0963, 5595.923]",-3.315386274,,,,,,,,,,,,,,,,,
"(5595.923, inf]",3.358845807,,,,,,,,,,,,,,,,,
NumberOfOpenCreditLinesAndLoans,Score,,,,,,,,,,,,,,,,,
"(-inf, 1.0]",-7.129587455,,,,,,,,,,,,,,,,,
"(1.0, 3.0]",-2.747235448,,,,,,,,,,,,,,,,,
"(3.0, 5.0]",-0.432076422,,,,,,,,,,,,,,,,,
"(5.0, 17.0]",1.029758821,,,,,,,,,,,,,,,,,
"(17.0, inf]",3.882368167,,,,,,,,,,,,,,,,,
NumberOfTime30-59DaysPastDueNotWorse,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0]",5.467155806,,,,,,,,,,,,,,,,,
"(0.0, 1.0]",-13.563895,,,,,,,,,,,,,,,,,
"(1.0, 2.0]",-21.46016998,,,,,,,,,,,,,,,,,
"(2.0, inf]",-24.01190636,,,,,,,,,,,,,,,,,
NumberOfTimes90DaysLate,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0]",3.881818826,,,,,,,,,,,,,,,,,
"(0.0, 1.0]",-28.88851842,,,,,,,,,,,,,,,,,
"(1.0, 2.0]",-37.13290563,,,,,,,,,,,,,,,,,
"(2.0, inf]",-39.73942209,,,,,,,,,,,,,,,,,
NumberRealEstateLoansOrLines,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0]",-10.6601121,,,,,,,,,,,,,,,,,
"(0.0, 1.0]",5.345219766,,,,,,,,,,,,,,,,,
"(1.0, 2.0]",16.66339638,,,,,,,,,,,,,,,,,
"(2.0, 4.0]",10.2746443,,,,,,,,,,,,,,,,,
"(4.0, inf]",-7.854064206,,,,,,,,,,,,,,,,,
NumberOfTime60-89DaysPastDueNotWorse,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0]",1.021526569,,,,,,,,,,,,,,,,,
"(0.0, 1.0]",-11.37043363,,,,,,,,,,,,,,,,,
"(1.0, 2.0]",-14.51039882,,,,,,,,,,,,,,,,,
"(2.0, inf]",-15.05480776,,,,,,,,,,,,,,,,,
NumberOfDependents,Score,,,,,,,,,,,,,,,,,
"(-inf, 0.0]",14.48663704,,,,,,,,,,,,,,,,,
"(0.0, 1.0]",-13.43869709,,,,,,,,,,,,,,,,,
"(1.0, 2.0]",-12.23968079,,,,,,,,,,,,,,,,,
"(2.0, inf]",-11.06064618,,,,,,,,,,,,,,,,,
总和,,,,,,,,,,,,,,,,,,
