base_score,[718.04258128]
age,Score
"(-inf, 54.0]",2.943319252
"(54.0, 61.0]",-2.105935007
"(61.0, 74.0]",-8.356240897
"(74.0, inf]",-14.42224799
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0992]",-47.75618994
"(0.0992, 0.298]",-14.35777217
"(0.298, 0.465]",2.773521146
"(0.465, 1.0]",20.46492343
"(1.0, inf]",43.82890891
DebtRatio,Score
"(-inf, 0.0173]",-33.44550941
"(0.0173, 0.402]",-0.836910707
"(0.402, 1.468]",8.684239229
"(1.468, inf]",-3.92449032
MonthlyIncome,Score
"(-inf, 0.101]",-24.37147611
"(0.101, 5598.0]",3.85615601
"(5598.0, inf]",-3.669980128
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",2.92896437
"(1.0, 3.0]",1.115930684
"(3.0, 5.0]",0.179423458
"(5.0, 17.0]",-0.424878614
"(17.0, inf]",-1.573250845
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",-5.545030404
"(0.0, 1.0]",13.75512038
"(1.0, 2.0]",21.72668127
"(2.0, inf]",24.23513867
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",-3.752033438
"(0.0, 2.0]",29.86299743
"(2.0, inf]",38.39435597
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",10.70697632
"(0.0, 1.0]",-5.29417629
"(1.0, 2.0]",-16.74695984
"(2.0, 3.0]",-11.77795047
"(3.0, inf]",-0.367042783
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",-1.037514552
"(0.0, 1.0]",11.51876272
"(1.0, inf]",14.854498
NumberOfDependents,Score
"(-inf, 0.0]",-14.45275352
"(0.0, 1.0]",13.37992501
"(1.0, 2.0]",12.21322858
"(2.0, 3.0]",11.62203383
"(3.0, inf]",9.541187914
